date,datatype,station,value,fl_m,fl_q,fl_so,fl_t
2021-01-01T00:00:00,PRCP,GHCND:US1ORMT0006,28,,,N,
2021-01-02T00:00:00,PRCP,GHCND:US1ORMT0006,109,,,N,
2021-01-03T00:00:00,PRCP,GHCND:US1ORMT0006,262,,,N,
2021-01-04T00:00:00,PRCP,GHCND:US1ORMT0006,150,,,N,
2021-01-05T00:00:00,PRCP,GHCND:US1ORMT0006,53,,,N,
2021-01-06T00:00:00,PRCP,GHCND:US1ORMT0006,43,,,N,
2021-01-07T00:00:00,PRCP,GHCND:US1ORMT0006,137,,,N,
2021-01-08T00:00:00,PRCP,GHCND:US1ORMT0006,56,,,N,
2021-01-09T00:00:00,PRCP,GHCND:US1ORMT0006,5,,,N,
2021-01-10T00:00:00,PRCP,GHCND:US1ORMT0006,46,,,N,
2021-01-11T00:00:00,PRCP,GHCND:US1ORMT0006,10,,,N,
2021-01-12T00:00:00,PRCP,GHCND:US1ORMT0006,257,,,N,
2021-01-13T00:00:00,PRCP,GHCND:US1ORMT0006,325,,,N,
2021-01-14T00:00:00,PRCP,GHCND:US1ORMT0006,0,T,,N,
2021-01-15T00:00:00,PRCP,GHCND:US1ORMT0006,64,,,N,
2021-01-16T00:00:00,PRCP,GHCND:US1ORMT0006,8,,,N,
2021-01-17T00:00:00,PRCP,GHCND:US1ORMT0006,13,,,N,
2021-01-18T00:00:00,PRCP,GHCND:US1ORMT0006,0,T,,N,
2021-01-19T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-01-20T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-01-21T00:00:00,PRCP,GHCND:US1ORMT0006,25,,,N,
2021-01-22T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-01-23T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-01-24T00:00:00,PRCP,GHCND:US1ORMT0006,10,,,N,
2021-01-25T00:00:00,PRCP,GHCND:US1ORMT0006,99,,,N,
2021-01-26T00:00:00,PRCP,GHCND:US1ORMT0006,8,,,N,
2021-01-27T00:00:00,PRCP,GHCND:US1ORMT0006,84,,,N,
2021-01-28T00:00:00,PRCP,GHCND:US1ORMT0006,36,,,N,
2021-01-29T00:00:00,PRCP,GHCND:US1ORMT0006,5,,,N,
2021-01-30T00:00:00,PRCP,GHCND:US1ORMT0006,41,,,N,
2021-01-31T00:00:00,PRCP,GHCND:US1ORMT0006,71,,,N,
2021-02-01T00:00:00,PRCP,GHCND:US1ORMT0006,86,,,N,
2021-02-02T00:00:00,PRCP,GHCND:US1ORMT0006,170,,,N,
2021-02-03T00:00:00,PRCP,GHCND:US1ORMT0006,229,,,N,
2021-02-04T00:00:00,PRCP,GHCND:US1ORMT0006,5,,,N,
2021-02-05T00:00:00,PRCP,GHCND:US1ORMT0006,23,,,N,
2021-02-06T00:00:00,PRCP,GHCND:US1ORMT0006,3,,,N,
2021-02-07T00:00:00,PRCP,GHCND:US1ORMT0006,15,,,N,
2021-02-08T00:00:00,PRCP,GHCND:US1ORMT0006,3,,,N,
2021-02-09T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-02-10T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-02-11T00:00:00,PRCP,GHCND:US1ORMT0006,15,,,N,
2021-02-12T00:00:00,PRCP,GHCND:US1ORMT0006,66,,,N,
2021-02-13T00:00:00,PRCP,GHCND:US1ORMT0006,351,,,N,
2021-02-14T00:00:00,PRCP,GHCND:US1ORMT0006,41,,,N,
2021-02-15T00:00:00,PRCP,GHCND:US1ORMT0006,163,,,N,
2021-02-16T00:00:00,PRCP,GHCND:US1ORMT0006,8,,,N,
2021-02-17T00:00:00,PRCP,GHCND:US1ORMT0006,5,,,N,
2021-02-18T00:00:00,PRCP,GHCND:US1ORMT0006,0,,,N,
2021-02-19T00:00:00,PRCP,GHCND:US1ORMT0006,117,,,N,
2021-02-20T00:00:00,PRCP,GHCND:US1ORMT0006,15,,,N,
2021-02-21T00:00:00,PRCP,GHCND:US1ORMT0006,3,,,N,
2021-02-22T00:00:00,PRCP,GHCND:US1ORMT0006,10,,,N,
2021-02-23T00:00:00,PRCP,GHCND:US1ORMT0006,94,,,N,
2021-02-24T00:00:00,PRCP,GHCND:US1ORMT0006,30,,,N,
2021-02-25T00:00:00,PRCP,GHCND:US1ORMT0006,15,,,N,
2021-02-09T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-10T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-11T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-12T00:00:00,SNOW,GHCND:US1ORMT0006,38,,,N,
2021-02-13T00:00:00,SNOW,GHCND:US1ORMT0006,122,,,N,
2021-02-14T00:00:00,SNOW,GHCND:US1ORMT0006,20,,,N,
2021-02-15T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-16T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-17T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-18T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-19T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-20T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-22T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
2021-02-23T00:00:00,SNOW,GHCND:US1ORMT0006,0,,,N,
